"Country ";"Short";"League ";"Season";"Active";"matches playeds";"Matches total";"With stats";"+0.5";"+1.5";"+2.5";"+3.5";"+4.5"
"World";"WOR";"World Cup";"2026";"true";"0";"104";"0";"-1";"-1";"-1";"-1";"-1"
"World";"WOR";"FIFA Club World Cup";"2025";"true";"63";"63";"63";"89";"78";"54";"35";"17"
"South America";"SOU";"Copa America";"2024";"true";"32";"32";"32";"81";"62";"41";"22";"9"
"Europe";"EUR";"Euro Qualification";"2024";"true";"239";"239";"239";"96";"82";"54";"30";"15"
"Europe";"EUR";"Champions League";"2025/2026";"true";"281";"281";"281";"94";"79";"58";"38";"25"
"England";"ENG";"Premier League";"2025/2026";"true";"380";"380";"380";"93";"79";"55";"28";"13"
"Spain";"ESP";"La Liga";"2025/2026";"true";"380";"380";"380";"96";"78";"50";"26";"13"
"Italy";"ITA";"Serie A";"2025/2026";"true";"380";"380";"380";"91";"70";"46";"22";"10"
"Germany";"GER";"Bundesliga";"2025/2026";"true";"306";"306";"306";"96";"84";"64";"43";"21"
"South America";"SOU";"Copa Libertadores";"2026";"true";"125";"142";"125";"93";"64";"36";"16";"9"
"Brazil";"BRA";"Serie A";"2026";"true";"177";"380";"177";"96";"77";"50";"25";"12"
"Europe";"EUR";"Europa League";"2025/2026";"true";"271";"271";"271";"91";"72";"52";"28";"12"
"France";"FRA";"Ligue 1";"2025/2026";"true";"305";"306";"305";"92";"73";"53";"33";"17"
"Netherlands";"NED";"Eredivisie";"2025/2026";"true";"309";"309";"309";"96";"86";"61";"38";"20"
"Portugal";"POR";"Liga Portugal";"2025/2026";"true";"306";"306";"306";"93";"75";"54";"30";"10"
"South America";"SOU";"Copa Sudamericana";"2026";"true";"112";"144";"112";"88";"72";"37";"17";"6"
"World";"WOR";"Friendly International";"2026";"true";"182";"289";"182";"91";"70";"48";"36";"17"
"Europe";"EUR";"Europa Conference League";"2025/2026";"true";"409";"409";"409";"93";"75";"52";"29";"14"
"Belgium";"BEL";"Pro League";"2025/2026";"true";"313";"313";"313";"92";"76";"49";"27";"13"
"Argentina";"ARG";"Liga Profesional de Fútbol";"2026";"true";"255";"495";"255";"86";"64";"33";"13";"6"
"Brazil";"BRA";"Serie B";"2026";"true";"110";"384";"110";"87";"65";"42";"16";"7"
"Brazil";"BRA";"Copa do Brasil";"2026";"true";"126";"142";"126";"87";"64";"36";"17";"9"
"Croatia";"CRO";"1. HNL";"2025/2026";"true";"180";"180";"180";"92";"79";"49";"28";"10"
"Denmark";"DEN";"Superliga";"2025/2026";"true";"193";"193";"193";"94";"82";"60";"34";"23"
"England";"ENG";"Championship";"2025/2026";"true";"558";"558";"558";"94";"76";"50";"25";"9"
"Spain";"ESP";"La Liga 2";"2025/2026";"true";"462";"466";"462";"92";"71";"50";"27";"14"
"France";"FRA";"Ligue 2";"2025/2026";"true";"307";"308";"307";"89";"68";"48";"27";"12"
"Germany";"GER";"2. Bundesliga";"2025/2026";"true";"306";"306";"306";"95";"80";"58";"31";"17"
"Greece";"GRE";"Super League";"2025/2026";"true";"236";"236";"236";"91";"75";"50";"25";"12"
"Italy";"ITA";"Serie B";"2025/2026";"true";"390";"390";"390";"92";"75";"48";"25";"9"
"Saudi Arabia";"KSA";"Pro League";"2025/2026";"true";"306";"306";"306";"95";"80";"56";"37";"20"
"Netherlands";"NED";"Eerste Divisie";"2025/2026";"true";"380";"380";"380";"96";"82";"63";"42";"22"
"Norway";"NOR";"Eliteserien";"2026";"true";"89";"240";"89";"97";"85";"55";"34";"17"
"Romania";"ROU";"Superliga";"2025/2026";"true";"317";"317";"317";"93";"71";"46";"27";"12"
"Turkey";"TUR";"Super Lig";"2025/2026";"true";"306";"306";"306";"91";"76";"53";"27";"12"
"Brazil";"BRA";"Serie C";"2026";"true";"90";"214";"90";"91";"69";"47";"19";"11"
"Brazil";"BRA";"Copa do Nordeste";"2026";"true";"59";"60";"59";"95";"78";"49";"31";"17"
"Brazil";"BRA";"Carioca Serie A";"2026";"true";"62";"62";"62";"94";"73";"44";"21";"11"
"Brazil";"BRA";"Mineiro 1";"2026";"true";"59";"59";"59";"88";"64";"37";"19";"10"
"Brazil";"BRA";"Paulista A1";"2026";"true";"72";"72";"72";"96";"67";"40";"17";"7"
"China";"CHN";"Super League";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1";"-1"
"Finland";"FIN";"Veikkausliiga";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1";"-1"
"Chile";"CHI";"Copa Chile";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1";"-1"
"Ecuador";"ECU";"Liga Pro Serie A";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1";"-1"
